Epochs,Batch size,Optimizer,Loss,Kernel,Bias,Accuracy
50,10,RMSprop,binary_crossentropy,None,None,99.95076060295105
50,20,RMSprop,binary_crossentropy,None,None,100.0
50,50,RMSprop,binary_crossentropy,None,None,100.0
50,75,RMSprop,binary_crossentropy,None,None,99.97538328170776
50,100,RMSprop,binary_crossentropy,None,None,100.0
75,5,RMSprop,binary_crossentropy,None,None,99.95076060295105
75,10,RMSprop,binary_crossentropy,None,None,99.97538328170776
75,20,RMSprop,binary_crossentropy,None,None,100.0
75,50,RMSprop,binary_crossentropy,None,None,100.0
75,75,RMSprop,binary_crossentropy,None,None,99.87691044807434
75,100,RMSprop,binary_crossentropy,None,None,100.0
100,5,RMSprop,binary_crossentropy,None,None,99.97538328170776
100,10,RMSprop,binary_crossentropy,None,None,97.63663411140442
100,20,RMSprop,binary_crossentropy,None,None,100.0
100,50,RMSprop,binary_crossentropy,None,None,100.0
100,75,RMSprop,binary_crossentropy,None,None,100.0
100,100,RMSprop,binary_crossentropy,None,None,97.63663411140442
5,5,RMSprop,binary_crossentropy,None,zeros,99.87691044807434
5,10,RMSprop,binary_crossentropy,None,zeros,99.7538149356842
5,20,RMSprop,binary_crossentropy,None,zeros,99.87691044807434
5,50,RMSprop,binary_crossentropy,None,zeros,98.5228955745697
5,75,RMSprop,binary_crossentropy,None,zeros,97.36583232879639
5,100,RMSprop,binary_crossentropy,None,zeros,97.36583232879639
10,5,RMSprop,binary_crossentropy,None,zeros,99.82767105102539
10,10,RMSprop,binary_crossentropy,None,zeros,99.97538328170776
10,20,RMSprop,binary_crossentropy,None,zeros,99.87691044807434
10,50,RMSprop,binary_crossentropy,None,zeros,99.92614388465881
10,75,RMSprop,binary_crossentropy,None,zeros,99.90152716636658
10,100,RMSprop,binary_crossentropy,None,zeros,99.82767105102539
20,5,RMSprop,binary_crossentropy,None,zeros,99.85228776931763
20,10,RMSprop,binary_crossentropy,None,zeros,99.87691044807434
20,20,RMSprop,binary_crossentropy,None,zeros,99.92614388465881
20,50,RMSprop,binary_crossentropy,None,zeros,99.97538328170776
20,75,RMSprop,binary_crossentropy,None,zeros,99.95076060295105
20,100,RMSprop,binary_crossentropy,None,zeros,99.90152716636658
50,5,RMSprop,binary_crossentropy,None,zeros,99.87691044807434
50,10,RMSprop,binary_crossentropy,None,zeros,100.0
50,20,RMSprop,binary_crossentropy,None,zeros,99.95076060295105
50,50,RMSprop,binary_crossentropy,None,zeros,100.0
50,75,RMSprop,binary_crossentropy,None,zeros,100.0
50,100,RMSprop,binary_crossentropy,None,zeros,97.63663411140442
75,5,RMSprop,binary_crossentropy,None,zeros,100.0
75,10,RMSprop,binary_crossentropy,None,zeros,99.97538328170776
75,20,RMSprop,binary_crossentropy,None,zeros,99.97538328170776
75,50,RMSprop,binary_crossentropy,None,zeros,97.63663411140442
75,75,RMSprop,binary_crossentropy,None,zeros,100.0
75,100,RMSprop,binary_crossentropy,None,zeros,100.0
100,5,RMSprop,binary_crossentropy,None,zeros,100.0
100,10,RMSprop,binary_crossentropy,None,zeros,100.0
100,20,RMSprop,binary_crossentropy,None,zeros,99.95076060295105
100,50,RMSprop,binary_crossentropy,None,zeros,99.92614388465881
100,75,RMSprop,binary_crossentropy,None,zeros,99.90152716636658
100,100,RMSprop,binary_crossentropy,None,zeros,100.0
5,5,RMSprop,binary_crossentropy,random_uniform,None,97.538161277771
5,10,RMSprop,binary_crossentropy,random_uniform,None,81.88084959983826
5,20,RMSprop,binary_crossentropy,random_uniform,None,98.15362095832825
5,50,RMSprop,binary_crossentropy,random_uniform,None,97.48892188072205
5,75,RMSprop,binary_crossentropy,random_uniform,None,96.11029028892517
5,100,RMSprop,binary_crossentropy,random_uniform,None,81.88084959983826
10,5,RMSprop,binary_crossentropy,random_uniform,None,97.56277799606323
10,10,RMSprop,binary_crossentropy,random_uniform,None,97.51353859901428
10,20,RMSprop,binary_crossentropy,random_uniform,None,97.51353859901428
10,50,RMSprop,binary_crossentropy,random_uniform,None,97.51353859901428
10,75,RMSprop,binary_crossentropy,random_uniform,None,99.7538149356842
10,100,RMSprop,binary_crossentropy,random_uniform,None,99.06449913978577
20,5,RMSprop,binary_crossentropy,random_uniform,None,99.87691044807434
20,10,RMSprop,binary_crossentropy,random_uniform,None,99.85228776931763
20,20,RMSprop,binary_crossentropy,random_uniform,None,99.92614388465881
20,50,RMSprop,binary_crossentropy,random_uniform,None,97.56277799606323
20,75,RMSprop,binary_crossentropy,random_uniform,None,99.87691044807434
20,100,RMSprop,binary_crossentropy,random_uniform,None,99.87691044807434
50,5,RMSprop,binary_crossentropy,random_uniform,None,99.87691044807434
50,10,RMSprop,binary_crossentropy,random_uniform,None,99.90152716636658
50,20,RMSprop,binary_crossentropy,random_uniform,None,97.63663411140442
50,50,RMSprop,binary_crossentropy,random_uniform,None,99.95076060295105
50,75,RMSprop,binary_crossentropy,random_uniform,None,99.90152716636658
50,100,RMSprop,binary_crossentropy,random_uniform,None,99.92614388465881
75,5,RMSprop,binary_crossentropy,random_uniform,None,97.6120114326477
75,10,RMSprop,binary_crossentropy,random_uniform,None,99.87691044807434
75,20,RMSprop,binary_crossentropy,random_uniform,None,99.97538328170776
75,50,RMSprop,binary_crossentropy,random_uniform,None,99.90152716636658
75,75,RMSprop,binary_crossentropy,random_uniform,None,99.92614388465881
75,100,RMSprop,binary_crossentropy,random_uniform,None,97.63663411140442
100,5,RMSprop,binary_crossentropy,random_uniform,None,97.6120114326477
100,10,RMSprop,binary_crossentropy,random_uniform,None,99.87691044807434
100,20,RMSprop,binary_crossentropy,random_uniform,None,97.51353859901428
100,50,RMSprop,binary_crossentropy,random_uniform,None,99.97538328170776
100,75,RMSprop,binary_crossentropy,random_uniform,None,97.63663411140442
